User_ID,Login_Time,File_Access,USB_Usage,Network_Traffic_MB,Anomaly Label
100,2:00 PM,172,No,479,0
101,2:00 PM,475,Yes,375,1
102,2:00 PM,355,Yes,849,1
103,2:00 PM,742,No,988,0
104,6:00 AM,687,Yes,513,1
105,2:00 PM,326,No,31,0
106,2:00 PM,67,Yes,616,1
107,2:00 PM,583,No,996,0
108,10:00 PM,597,Yes,850,1
109,6:00 AM,85,Yes,595,1
110,2:00 PM,727,No,21,0
111,10:00 PM,682,No,831,0
112,10:00 PM,11,No,622,0
113,2:00 PM,980,Yes,813,1
114,10:00 PM,656,No,825,0
115,2:00 PM,36,Yes,145,1
116,2:00 PM,735,Yes,1,1
117,10:00 PM,149,Yes,122,1
118,2:00 PM,192,No,810,0
119,10:00 PM,754,Yes,745,1
120,2:00 PM,878,No,533,0
121,10:00 PM,359,Yes,9,1
122,6:00 AM,838,Yes,716,1
123,2:00 PM,731,No,910,0
124,2:00 PM,677,Yes,855,1
125,10:00 PM,936,Yes,591,1
126,2:00 PM,98,Yes,324,1
127,2:00 PM,747,No,684,0
128,2:00 PM,942,Yes,350,1
129,2:00 PM,872,No,404,0
130,6:00 AM,491,Yes,874,1
131,2:00 PM,319,Yes,133,1
132,10:00 PM,429,Yes,613,1
133,2:00 PM,510,Yes,619,1
134,10:00 PM,12,Yes,37,1
135,2:00 PM,784,Yes,978,1
136,2:00 PM,655,Yes,773,1
137,2:00 PM,463,No,917,0
138,10:00 PM,734,Yes,346,1
139,6:00 AM,258,No,801,0
140,2:00 PM,188,Yes,590,1
141,10:00 PM,911,No,562,0
142,6:00 AM,50,Yes,790,1
143,2:00 PM,459,No,164,0
144,2:00 PM,356,Yes,80,1
145,2:00 PM,285,No,129,0
146,2:00 PM,471,Yes,228,1
147,10:00 PM,203,Yes,573,1
148,10:00 PM,311,Yes,458,1
149,2:00 PM,355,Yes,175,1
150,2:00 PM,242,No,154,0
151,2:00 PM,205,No,398,0
152,6:00 AM,474,No,610,0
153,2:00 PM,427,No,444,0
154,2:00 PM,195,Yes,582,1
155,2:00 PM,203,Yes,261,1
156,6:00 AM,364,Yes,513,1
157,10:00 PM,106,Yes,782,1
158,2:00 PM,101,No,989,0
159,2:00 PM,688,Yes,334,1
160,2:00 PM,383,No,337,0
161,2:00 PM,620,Yes,969,1
162,2:00 PM,502,Yes,125,1
163,2:00 PM,132,No,767,0
164,10:00 PM,679,Yes,197,1
165,2:00 PM,524,No,959,0
166,10:00 PM,36,No,997,0
167,6:00 AM,583,No,466,0
